"ensembl_gene_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"mgi_symbol"
"8820"	"ENSMUSG00000032080"	14291.817820761	-5.04940305923947	0.251952097627237	-20.0411233198386	2.41261010876573e-89	4.024716183443e-85	"Apoa4"
"4582"	"ENSMUSG00000024526"	465.87904057095	-6.8987503807148	0.346597863724235	-19.9041918683137	3.74278923132339e-88	3.12186049784684e-84	"Cidea"
"20354"	"ENSMUSG00000069170"	343.928323594871	-4.05808344768583	0.253507932843053	-16.007717794765	1.12874721389155e-57	6.27658700737963e-54	"Gpr98"
"12526"	"ENSMUSG00000042041"	651.002326876615	-3.18879830769856	0.203665178025082	-15.6570619416631	2.97318547041926e-55	1.23996700043835e-51	"2010003K11Rik"
"8894"	"ENSMUSG00000032231"	883.324337619713	-2.58604293458333	0.176729903618176	-14.632741158341	1.7364757310098e-48	5.79357762894108e-45	"Anxa2"
"5372"	"ENSMUSG00000026043"	833.867936897615	-2.46575350121177	0.171552106857144	-14.3732044239193	7.62213366222858e-47	2.11920722922162e-43	"Col3a1"
"9814"	"ENSMUSG00000034634"	199.350753769816	-5.3465411257334	0.375824990744106	-14.22614583226	6.30628815561944e-46	1.50287855731491e-42	"Ly6d"
"11269"	"ENSMUSG00000038576"	842.879994522801	2.2222619805081	0.156746731586333	14.1774055383357	1.26435189468672e-45	2.63648978839548e-42	"Susd4"
"6516"	"ENSMUSG00000028051"	339.399128135267	-3.61741658826114	0.257267492712574	-14.060915936638	6.60260851682121e-45	1.22383016975124e-41	"Hcn3"
"19945"	"ENSMUSG00000067225"	6670.87266664328	3.03476270843942	0.221043886092414	13.7292316113672	6.78492603543064e-43	1.13186136123054e-39	"Cyp2c54"
"7808"	"ENSMUSG00000030278"	454.428775970098	-3.78888164463974	0.277265023276856	-13.6651987324649	1.63855827329405e-42	2.48494810137194e-39	"Cidec"
"12595"	"ENSMUSG00000042248"	9297.15167240665	2.62705663450889	0.200119213370312	13.1274583297888	2.29221622581777e-39	3.18656258992434e-36	"Cyp2c37"
"1859"	"ENSMUSG00000017723"	355.412021556401	-2.78274052524682	0.214490928315509	-12.9736979885392	1.72502741225407e-38	2.21360825317096e-35	"Wfdc2"
"3661"	"ENSMUSG00000022364"	407.59485645732	-2.23640277613529	0.175556089649792	-12.7389643993357	3.59130184164533e-37	4.27929266588053e-34	"Wdr67"
"12268"	"ENSMUSG00000041237"	6257.96125240403	-2.60010121889567	0.214248863359709	-12.1358927096396	6.81625536268431e-34	7.58058479735332e-31	"Pklr"
"5713"	"ENSMUSG00000026638"	853.932336194695	1.6513150778615	0.143134605535036	11.5367983283211	8.60694808017219e-31	8.97381924208953e-28	"Irf6"
"5617"	"ENSMUSG00000026475"	3141.25707045318	-5.09527309782871	0.443873113534457	-11.479120817335	1.67979902709781e-30	1.64837690412033e-27	"Rgs16"
"6590"	"ENSMUSG00000028179"	10149.8653904371	1.61128310254031	0.140698444770737	11.4520320758757	2.29696839044244e-30	2.12877926052004e-27	"Cth"
"6324"	"ENSMUSG00000027712"	2478.84465601074	-1.48575515677678	0.130144207417979	-11.4162219452845	3.46992658128813e-30	3.04659553837098e-27	"Anxa5"
"7502"	"ENSMUSG00000029661"	296.522745348694	-2.72987777278123	0.240240602203112	-11.3630991087562	6.38390105861895e-30	5.32481187299407e-27	"Col1a2"
"15684"	"ENSMUSG00000053168"	172.28114201942	-2.56411546018336	0.226095966053384	-11.3408279897304	8.23614864743709e-30	6.54263960650217e-27	"9030619P08Rik"
"1856"	"ENSMUSG00000017718"	691.54649922209	1.59646752208075	0.141123041750555	11.3125929137965	1.13679583614109e-29	8.62001279022985e-27	"Afmid"
"14783"	"ENSMUSG00000049723"	92.1254767114568	-4.3973394009578	0.3904955852684	-11.2609196284136	2.04612228732727e-29	1.48406139118232e-26	"Mmp12"
"16273"	"ENSMUSG00000055730"	4310.69530525173	2.10283707036046	0.188480213449125	11.156805437978	6.63324684324941e-29	4.61065932662861e-26	"Ces2a"
"2996"	"ENSMUSG00000021208"	324.657083277417	-2.65567947524871	0.238637253167536	-11.1285201283484	9.11359456284064e-29	6.0813193798923e-26	"Ifi27l2b"
"16078"	"ENSMUSG00000054827"	13037.0471280994	1.89700340103974	0.172785968380277	10.978920446044	4.82657084543647e-28	3.09680210936812e-25	"Cyp2c50"
"5873"	"ENSMUSG00000026890"	199.895713707567	-2.5158507530997	0.230275599437098	-10.9253900945199	8.71650485529954e-28	5.38550866652248e-25	"Lhx6"
"7820"	"ENSMUSG00000030302"	111.769821375382	-3.94723088027677	0.363114749442527	-10.8704779586529	1.59363786435227e-27	9.49466673325877e-25	"Atp2b2"
"17444"	"ENSMUSG00000060317"	944.115603028323	-1.81549759818093	0.167453268554768	-10.8418164294425	2.18097114430313e-27	1.25458484928499e-24	"Acnat2"
"3072"	"ENSMUSG00000021336"	1488.47075847574	-1.71313308549265	0.158069172713378	-10.8378696243259	2.27711924994469e-27	1.26623011091924e-24	"Slc17a4"
"21540"	"ENSMUSG00000073460"	101.790613329655	-3.55616843062862	0.32837158636836	-10.8297081058633	2.48947623857319e-27	1.33965943909284e-24	"Pnldc1"
"2635"	"ENSMUSG00000020604"	651.100964844005	-1.58251616628851	0.146884697325756	-10.7738668159479	4.57379233528839e-27	2.38437511679003e-24	"Arsg"
"3667"	"ENSMUSG00000022371"	1414.69602168656	-1.69888357662514	0.158168625952534	-10.7409643751661	6.53580678526085e-27	3.3039493573249e-24	"Col14a1"
"4856"	"ENSMUSG00000025002"	280.297446450039	2.441079056053	0.228575305346569	10.6795397357199	1.26899254989749e-26	6.22627462276177e-24	"Cyp2c55"
"12370"	"ENSMUSG00000041577"	856.977399958834	-1.40321298071089	0.13166679710038	-10.6573032200449	1.61204096491644e-26	7.68344782192457e-24	"Prelp"
"268"	"ENSMUSG00000001506"	196.729373536273	-3.42466624480624	0.325189287306906	-10.5313009329674	6.19720146194376e-26	2.87171429967072e-23	"Col1a1"
"5909"	"ENSMUSG00000026956"	244.431238639767	-2.35127845329348	0.223537403900213	-10.5185012095027	7.09938915920077e-26	3.20086513388614e-23	"Uap1l1"
"10979"	"ENSMUSG00000037953"	112.453080850094	-6.84460990612366	0.65097409795113	-10.5144120598136	7.41417873274635e-26	3.25482446367565e-23	"A4gnt"
"6877"	"ENSMUSG00000028664"	72.2600362943376	-5.41488689723943	0.516543540673029	-10.4829244214033	1.03493072099897e-25	4.42684981736021e-23	"Ephb2"
"519"	"ENSMUSG00000002992"	4870.90488391314	-1.26860907212845	0.121088971925944	-10.4766689480551	1.10569829782741e-25	4.61131475108922e-23	"Apoc2"
"9667"	"ENSMUSG00000034220"	431.80258325105	-2.46641803251509	0.235860287368589	-10.4571145063548	1.35932312903035e-25	5.53078742402058e-23	"Gpc1"
"9096"	"ENSMUSG00000032548"	1013.47560864554	1.66977518737005	0.160173261963922	10.4248060312723	1.91048751070948e-25	7.58827444134655e-23	"Slco2a1"
"492"	"ENSMUSG00000002831"	567.05839625014	-2.89972090600079	0.27948013560424	-10.3754096860285	3.20833258106769e-25	1.24468381668305e-22	"Plin4"
"12283"	"ENSMUSG00000041293"	109.937017101807	6.3500363064583	0.62951077259534	10.0872559817816	6.29033406358431e-24	2.38489438292531e-21	"Gpr110"
